scenario,limit_mode,frequency_multiplier,severity_multiplier,design,mean,mean_mcse,sd,var95,var95_mcse,var99,var99_mcse,tvar99,tvar99_mcse,model_mean,model_sd,mean_check_z,simulated_claims
Sensitivity,Limited,0.7,1.3,A,98009.18722023243,27.91770139923224,19740.795974538283,132039.95230703524,69.29835515989733,148189.33948928723,126.50233282787079,156600.4133684399,162.92585410025768,97982.77281641072,19714.20099310516,0.9474289153215075,36132471
Sensitivity,Limited,0.7,1.3,B,87378.6643740954,21.035942334033656,14874.657473044368,112831.93948880308,49.68936232220077,124713.19120875334,95.2069662349082,130797.03363739642,117.93843467893772,87362.10757289632,14860.019395638055,0.7878473164083553,36132471
Sensitivity,Unlimited,0.7,1.3,A,98009.18722023243,27.91770139923224,19740.795974538283,132039.95230703524,69.29835515989733,148189.33948928723,126.50233282787079,156600.4133684399,162.92585410025768,97982.77281641072,19714.20099310516,0.9474289153215075,36132471
Sensitivity,Unlimited,0.7,1.3,B,87378.6643740954,21.035942334033656,14874.657473044368,112831.93948880308,49.68936232220077,124713.19120875334,95.2069662349082,130797.03363739642,117.93843467893772,87362.10757289632,14860.019395638055,0.7878473164083553,36132471
Sensitivity,Limited,0.8,1.0,A,74142.21664652301,21.241783682812816,15020.209286614698,100089.16886275302,52.59825624513421,112246.59342247869,98.08429973805099,118774.90389691858,125.64991947952463,74108.38733187744,14994.194868712824,1.595346599015402,41294308
Sensitivity,Limited,0.8,1.0,B,74130.79733582739,17.010591611238382,12028.30468030166,94690.65815594529,40.51176628710762,104201.36476578792,76.49788481914271,109147.455694546,95.28116898056648,74108.38733187744,12012.652181693575,1.3191313225211745,41294308
Sensitivity,Unlimited,0.8,1.0,A,74142.21664652301,21.241783682812816,15020.209286614698,100089.16886275302,52.59825624513421,112246.59342247869,98.08429973805099,118774.90389691858,125.64991947952463,74108.38733187744,14994.194868712824,1.595346599015402,41294308
Sensitivity,Unlimited,0.8,1.0,B,74130.79733582739,17.010591611238382,12028.30468030166,94690.65815594529,40.51176628710762,104201.36476578792,76.49788481914271,109147.455694546,95.28116898056648,74108.38733187744,12012.652181693575,1.3191313225211745,41294308
Sensitivity,Limited,0.8,1.05,A,80313.86061898687,22.674566767466313,16033.339921742565,107989.66262350217,55.46913839923368,120954.28702595033,107.95971794870972,127888.78447920935,133.56988739561223,80278.2079990336,16006.115214180256,1.5750361033067966,41294308
Sensitivity,Limited,0.8,1.05,B,78414.43123980933,17.93411020172536,12681.330938186844,100089.40628006007,43.155400682297795,110101.00919496869,80.92163074706333,115322.17740402714,100.48076506462878,78390.87598632969,12664.899836045412,1.315137086249972,41294308
Sensitivity,Unlimited,0.8,1.05,A,80313.86061898687,22.674566767466313,16033.339921742565,107989.66262350217,55.46913839923368,120954.28702595033,107.95971794870972,127888.78447920935,133.56988739561223,80278.2079990336,16006.115214180256,1.5750361033067966,41294308
