scenario,limit_mode,frequency_multiplier,severity_multiplier,design,expected_retention_per_claim,expected_retention_annual_per_vehicle,retention_share_of_losses,mc_retention_per_claim,mc_retention_annual_per_vehicle,mc_retention_share,expected_below_deductible,mc_below_deductible,expected_at_limit,mc_at_limit
Sensitivity,Unlimited,0.7,1.0,A,792.5479270990403,57.2734772341336,0.46899989321835855,792.5533725500102,57.27382349923088,0.4689239763143063,0.41183640070522204,0.411819966589055,0.0,0.0
Sensitivity,Unlimited,0.7,1.0,B,792.5479270990403,57.2734772341336,0.46899989321835855,792.6569846570623,57.281311022137494,0.4689852796951459,0.09862267526693197,0.09858655944122947,0.0,0.0
Sensitivity,Limited,0.7,1.05,A,802.3358286817999,57.980799957848284,0.4521828602357388,802.3407641255849,57.98110878377107,0.4521093402229695,0.3945164927175068,0.39449554944636916,2.351123710677597e-115,0.0
Sensitivity,Limited,0.7,1.05,B,825.1880458566653,59.63221546896422,0.465061982113963,825.302302345817,59.64042301148693,0.4650478899756638,0.09328878033482191,0.09326630332035692,4.945157848362812e-186,0.0
Sensitivity,Unlimited,0.7,1.05,A,802.3358286817999,57.980799957848284,0.4521828602357388,802.3407641255849,57.98110878377107,0.4521093402229695,0.3945164927175068,0.39449554944636916,0.0,0.0
Sensitivity,Unlimited,0.7,1.05,B,825.1880458566653,59.63221546896422,0.465061982113963,825.302302345817,59.64042301148693,0.4650478899756638,0.09328878033482191,0.09326630332035692,0.0,0.0
Sensitivity,Limited,0.7,1.1,A,811.3278433323724,58.63060791112075,0.4364664886241157,811.3336512503539,58.630979250255045,0.43639596345282305,0.37842096469908454,0.37843523073747154,4.0252718715688735e-110,0.0
Sensitivity,Limited,0.7,1.1,B,857.7907395298497,61.98824918000718,0.4614619295192853,857.9103219629758,61.99683965785577,0.4614483830815851,0.08845397376282428,0.08843751649312885,1.3883820264743596e-177,0.0
Sensitivity,Unlimited,0.7,1.1,A,811.3278433323724,58.63060791112075,0.4364664886241157,811.3336512503539,58.630979250255045,0.43639596345282305,0.37842096469908454,0.37843523073747154,0.0,0.0
Sensitivity,Unlimited,0.7,1.1,B,857.7907395298497,61.98824918000718,0.4614619295192853,857.9103219629758,61.99683965785577,0.4614483830815851,0.08845397376282428,0.08843751649312885,0.0,0.0
Sensitivity,Limited,0.7,1.15,A,819.6132433470393,59.22935235658621,0.4217531512212947,819.6191890227639,59.22973315681707,0.42168504382176175,0.3634349321343261,0.36342446659681815,2.4156022343375e-105,0.0
Sensitivity,Limited,0.7,1.15,B,890.3609886795161,64.34193828750563,0.4581582298092449,890.485848843914,64.35090821852621,0.45814515963214647,0.08405350486208875,0.08403031721799487,7.177927377396293e-170,0.0
Sensitivity,Unlimited,0.7,1.15,A,819.6132433470393,59.22935235658621,0.4217531512212947,819.6191890227639,59.22973315681707,0.42168504382176175,0.3634349321343261,0.36342446659681815,0.0,0.0
Sensitivity,Unlimited,0.7,1.15,B,890.3609886795161,64.34193828750563,0.4581582298092449,890.485848843914,64.35090821852621,0.45814515963214647,0.08405350486208875,0.08403031721799487,0.0,0.0
Sensitivity,Limited,0.7,1.2,A,827.2688059469224,59.78258160025326,0.4079553302979627,827.2743274507133,59.7829312913148,0.4078892145383072,0.3494561088846014,0.34942999054783713,5.792762530075802e-101,0.0
Sensitivity,Limited,0.7,1.2,B,922.9029409948394,66.69358252422447,0.4551158842446035,923.0330783194923,66.70293186883957,0.45510325271279983,0.08003317624604972,0.08000413257094982,8.443328258901383e-163,0.0
Sensitivity,Unlimited,0.7,1.2,A,827.2688059469224,59.78258160025326,0.4079553302979627,827.2743274507133,59.7829312913148,0.4078892145383072,0.3494561088846014,0.34942999054783713,0.0,0.0
Sensitivity,Unlimited,0.7,1.2,B,922.9029409948394,66.69358252422447,0.4551158842446035,923.0330783194923,66.70293186883957,0.45510325271279983,0.08003317624604972,0.08000413257094982,0.0,0.0
Sensitivity,Limited,0.7,1.25,A,834.3608729663736,60.29508983488868,0.3949945707476743,834.3654883461527,60.2953736221364,0.3949301041880484,0.3363933804957248,0.33637566608716024,6.197091962144393e-97,0.0
Sensitivity,Limited,0.7,1.25,B,955.4200768150906,69.04343339688678,0.4523051779544511,955.5554395990088,69.05315842040687,0.4522929274871093,0.07634730029777143,0.07632370340794019,2.6990896335538135e-156,0.0
Sensitivity,Unlimited,0.7,1.25,A,834.3608729663736,60.29508983488868,0.3949945707476743,834.3654883461527,60.2953736221364,0.3949301041880484,0.3363933804957248,0.33637566608716024,0.0,0.0
Sensitivity,Unlimited,0.7,1.25,B,955.4200768150906,69.04343339688678,0.4523051779544511,955.5554395990088,69.05315842040687,0.4522929274871093,0.07634730029777143,0.07632370340794019,0.0,0.0
Sensitivity,Limited,0.7,1.3,A,840.947025771032,60.77103817797354,0.38280049970027646,840.9511396178642,60.77128532931886,0.38273777847810414,0.3241655026808055,0.32414027260964245,3.24629250128382e-93,0.0
Sensitivity,Limited,0.7,1.3,B,987.9153369275198,71.39170342148795,0.44970072198149214,988.0559812177789,71.40180817545588,0.44968885045466295,0.07295710927661907,0.0729411226815902,2.725225294322492e-150,0.0
Sensitivity,Unlimited,0.7,1.3,A,840.947025771032,60.77103817797354,0.38280049970027646,840.9511396178642,60.77128532931886,0.38273777847810414,0.3241655026808055,0.32414027260964245,0.0,0.0
Sensitivity,Unlimited,0.7,1.3,B,987.9153369275198,71.39170342148795,0.44970072198149214,988.0559812177789,71.40180817545588,0.44968885045466295,0.07295710927661907,0.0729411226815902,0.0,0.0
Sensitivity,Limited,0.8,1.0,A,792.5479270990403,65.45540255329557,0.46899989321835855,792.5786923036605,65.45797726844917,0.46889603397197543,0.41183640070522204,0.41179920002534004,4.113028205962841e-121,0.0
Sensitivity,Limited,0.8,1.0,B,792.5479270990403,65.45540255329557,0.46899989321835855,792.7169596732898,65.46939657914481,0.4689778340782317,0.09862267526693197,0.09858198858787028,2.51637685423477e-195,0.0
Sensitivity,Unlimited,0.8,1.0,A,792.5479270990403,65.45540255329557,0.46899989321835855,792.5786923036605,65.45797726844917,0.46889603397197543,0.41183640070522204,0.41179920002534004,0.0,0.0
Sensitivity,Unlimited,0.8,1.0,B,792.5479270990403,65.45540255329557,0.46899989321835855,792.7169596732898,65.46939657914481,0.4689778340782317,0.09862267526693197,0.09858198858787028,0.0,0.0
Sensitivity,Limited,0.8,1.05,A,802.3358286817999,66.26377138039807,0.4521828602357388,802.3665512415652,66.26634299173395,0.4520824869893089,0.3945164927175068,0.3944814864072792,2.351123710677597e-115,0.0
Sensitivity,Limited,0.8,1.05,B,825.1880458566653,68.15110339310199,0.465061982113963,825.3652340040605,68.1657723709115,0.46504078103167457,0.09328878033482191,0.09325982651168292,4.945157848362812e-186,0.0
Sensitivity,Unlimited,0.8,1.05,A,802.3358286817999,66.26377138039807,0.4521828602357388,802.3665512415652,66.26634299173395,0.4520824869893089,0.3945164927175068,0.3944814864072792,0.0,0.0
Sensitivity,Unlimited,0.8,1.05,B,825.1880458566653,68.15110339310199,0.465061982113963,825.3652340040605,68.1657723709115,0.46504078103167457,0.09328878033482191,0.09325982651168292,0.0,0.0
Sensitivity,Limited,0.8,1.1,A,811.3278433323724,67.00640904128088,0.4364664886241157,811.3596097024753,67.00906724362761,0.43636998022328577,0.37842096469908454,0.37840314456898033,4.0252718715688735e-110,0.0
Sensitivity,Limited,0.8,1.1,B,857.7907395298497,70.84371334857966,0.4614619295192853,857.9762196391142,70.85906854090646,0.4614415870827734,0.08845397376282428,0.08843562652751076,1.3883820264743596e-177,0.0
